Region,Governorate,Income_Category,Date,GDP_Per_Capita_USD,Organic_Waste_Percentage,Plastic_Percentage,Paper_Cardboard_Percentage,Glass_Percentage,Metal_Percentage,Other_Waste_Percentage,Recycling_Rate_Percentage,Population,Total_MSW_Generated_Tons_Month,Agricultural_Waste_Tons_Year,Construction_Demolition_Waste_Tons_Year,E_Waste_Tons_Year,Hazardous_Waste_Tons_Year,Medical_Waste_Tons_Year,Total_Annual_MSW_Tons_Year,Waste_Collection_Coverage_Population_Percentage,Waste_Collection_Coverage_Waste_Percentage,Compost_Treatment_Percentage,Incineration_Percentage,Data_Source
Alexandria Region,Alexandria,Middle/High Urban,2021-12,3690,61.7,14.2,7.8,2,5.1,9.2,13.3,5310959,143396,1585282,233022,4510,22599,6268,1744650,88.1,83.7,13.3,1.5,Alexandria Governorate - General Administration of Solid Waste
Alexandria Region,Alexandria,Middle/High Urban,2022-01,4295,56.3,11.1,13,7.7,0.5,11.4,13.7,5318395,143597,1653037,230988,4741,22373,5901,1747093,89.5,85.1,12.2,2,Alexandria Governorate - General Administration of Solid Waste
Alexandria Region,Alexandria,Middle/High Urban,2022-02,4295,50.1,5.4,5.6,13.3,5.1,20.6,12.9,5325840,143798,1653037,230988,4741,22373,5901,1749538,87.7,83.3,11.3,1.8,Alexandria Governorate - General Administration of Solid Waste
Alexandria Region,Alexandria,Middle/High Urban,2022-03,4295,59.2,10,8.3,6.2,4.6,11.6,13.2,5333297,143999,1653037,230988,4741,22373,5901,1751988,88.7,84.3,11.4,2.5,Alexandria Governorate - General Administration of Solid Waste
Alexandria Region,Alexandria,Middle/High Urban,2022-04,4295,50.8,23.6,8.5,2.3,3.1,11.6,13.8,5340763,170157,1644620,219276,4933,22031,5778,1754441,84.6,80.4,12.2,2,Alexandria Governorate - General Administration of Solid Waste
Alexandria Region,Alexandria,Middle/High Urban,2022-05,4295,57.1,18.2,9.6,0.5,2.5,12.1,13.7,5348240,144402,1644620,219276,4933,22031,5778,1756897,86.8,82.4,11.3,2.3,Alexandria Governorate - General Administration of Solid Waste
Alexandria Region,Alexandria,Middle/High Urban,2022-06,4295,58.9,16.7,10.1,0.5,0.5,13.4,14.4,5355728,180756,1644620,219276,4933,22031,5778,1759357,85.7,81.4,10.6,1.3,Alexandria Governorate - General Administration of Solid Waste
Alexandria Region,Alexandria,Middle/High Urban,2022-07,4295,66.9,13.3,9.4,1.8,3.4,5.2,14,5363226,181009,1687901,234492,4664,22799,6093,1761820,89.4,84.9,12.2,2.5,Alexandria Governorate - General Administration of Solid Waste
Alexandria Region,Alexandria,Middle/High Urban,2022-08,4295,53.4,11.1,15.3,0.7,4.1,15.5,13.9,5370734,181262,1687901,234492,4664,22799,6093,1764286,89.6,85.1,10.7,2.5,Alexandria Governorate - General Administration of Solid Waste
Alexandria Region,Alexandria,Middle/High Urban,2022-09,4295,58.4,17.2,9.4,2,0.5,12.5,15.3,5378253,145213,1687901,234492,4664,22799,6093,1766756,87.8,83.4,10.6,1.6,Alexandria Governorate - General Administration of Solid Waste
Alexandria Region,Alexandria,Middle/High Urban,2022-10,4295,46.4,13.1,10.1,5.4,6.8,18.2,14.7,5385783,145416,1706603,221303,4743,22208,5908,1769230,88.8,84.4,11.4,2.1,Alexandria Governorate - General Administration of Solid Waste
Alexandria Region,Alexandria,Middle/High Urban,2022-11,4295,48.5,15,7.4,7.5,6,15.6,14.9,5393323,145620,1706603,221303,4743,22208,5908,1771707,84.9,80.6,13.1,1.9,Alexandria Governorate - General Administration of Solid Waste
Alexandria Region,Alexandria,Middle/High Urban,2022-12,4295,58,10.6,4.7,4,9.5,13.2,14.5,5400874,145824,1706603,221303,4743,22208,5908,1774187,83.8,79.6,10.7,2.2,Alexandria Governorate - General Administration of Solid Waste
Alexandria Region,Alexandria,Middle/High Urban,2023-01,3700,57.3,15.7,8.6,9,0.5,8.9,15,5408435,146028,1722440,235439,4749,23628,5882,1776671,87.6,83.2,13.1,2,Alexandria Governorate - General Administration of Solid Waste
Alexandria Region,Alexandria,Middle/High Urban,2023-02,3700,52.7,9.8,11.4,5.2,4.5,16.4,15.3,5416007,146232,1722440,235439,4749,23628,5882,1779158,84.6,80.4,13.2,2,Alexandria Governorate - General Administration of Solid Waste
Alexandria Region,Alexandria,Middle/High Urban,2023-03,3700,59.8,8.2,11.7,1.7,0.5,18.2,15,5423589,172796,1722440,235439,4749,23628,5882,1781649,84.7,80.4,12.5,2.6,Alexandria Governorate - General Administration of Solid Waste
Alexandria Region,Alexandria,Middle/High Urban,2023-04,3700,52.4,16.4,9.1,5.4,7.1,9.5,15.8,5431182,146642,1712848,219952,4942,22572,6246,1784143,85.7,69.2,12.6,2.5,Alexandria Governorate - General Administration of Solid Waste
Alexandria Region,Alexandria,Middle/High Urban,2023-05,3700,52.1,12.1,11.7,4.2,7,12.8,15.5,5438786,146847,1712848,219952,4942,22572,6246,1786641,87.8,83.4,10.2,1.7,Alexandria Governorate - General Administration of Solid Waste
Alexandria Region,Alexandria,Middle/High Urban,2023-06,3700,47.4,17.7,6,8.5,2.6,17.7,15.8,5446400,183816,1712848,219952,4942,22572,6246,1789142,83.2,79.1,12.4,2.3,Alexandria Governorate - General Administration of Solid Waste
Alexandria Region,Alexandria,Middle/High Urban,2023-07,3700,56.2,13.7,11.2,5.1,0.5,13.4,15.8,5454025,184074,1680106,236717,4912,22511,6438,1791647,84.7,80.5,12.7,1.9,Alexandria Governorate - General Administration of Solid Waste
Alexandria Region,Alexandria,Middle/High Urban,2023-08,3700,52.5,13.8,5.3,0.5,9.4,18.4,16.8,5461661,184331,1680106,236717,4912,22511,6438,1794156,85.5,81.2,12.6,1.3,Alexandria Governorate - General Administration of Solid Waste
Alexandria Region,Alexandria,Middle/High Urban,2023-09,3700,54.2,13.2,8.7,6.1,0.5,17.3,16.3,5469307,147671,1680106,236717,4912,22511,6438,1796667,86,81.7,10.9,2.7,Alexandria Governorate - General Administration of Solid Waste
Alexandria Region,Alexandria,Middle/High Urban,2023-10,3700,58.3,12.2,10.6,1.7,4.6,12.6,16,5476964,147878,1671112,242837,4999,23095,6302,1799183,83.3,79.2,13.5,2.3,Alexandria Governorate - General Administration of Solid Waste
Alexandria Region,Alexandria,Middle/High Urban,2023-11,3700,55.7,17.3,7,3.4,4.8,11.8,16.8,5484632,148085,1671112,242837,4999,23095,6302,1801702,88.3,83.9,13.7,1.8,Alexandria Governorate - General Administration of Solid Waste
Alexandria Region,Alexandria,Middle/High Urban,2023-12,3700,56.5,14.9,14,1.6,0.5,12.6,16.2,5492310,148292,1671112,242837,4999,23095,6302,1804224,84.8,80.6,11.1,1.4,Alexandria Governorate - General Administration of Solid Waste
Alexandria Region,Alexandria,Middle/High Urban,2024-01,3200,48,14,4.9,12.3,7.6,13.2,16.9,5500000,148500,1639892,241182,4699,23850,6489,1806750,85.2,81,11.8,2.3,Alexandria Governorate - General Administration of Solid Waste
Alexandria Region,Alexandria,Middle/High Urban,2024-02,3200,61.5,6.7,20.7,1.7,2.5,6.9,16.1,5507700,148708,1639892,241182,4699,23850,6489,1809279,88.8,84.3,12.6,2.1,Alexandria Governorate - General Administration of Solid Waste
Alexandria Region,Alexandria,Middle/High Urban,2024-03,3200,66.8,8.9,10.7,1.9,0.5,11.3,16.6,5515410,175721,1639892,241182,4699,23850,6489,1811812,89.7,85.2,13.1,2.4,Alexandria Governorate - General Administration of Solid Waste
Alexandria Region,Alexandria,Middle/High Urban,2024-04,3200,52.8,7.3,6.4,6.3,12.4,14.9,17.3,5523132,149125,1790071,227662,4819,24469,5961,1814349,85.8,81.5,13.7,2.7,Alexandria Governorate - General Administration of Solid Waste
Alexandria Region,Alexandria,Middle/High Urban,2024-05,3200,53.2,11.8,10.2,2.8,6.8,15.1,17.6,5530864,149333,1790071,227662,4819,24469,5961,1816889,84.4,80.2,10.6,1.7,Alexandria Governorate - General Administration of Solid Waste
Alexandria Region,Alexandria,Middle/High Urban,2024-06,3200,52.6,10.4,13.5,3,0.4,20,17.6,5538607,186928,1790071,227662,4819,24469,5961,1819432,88.8,84.4,10.3,1.6,Alexandria Governorate - General Administration of Solid Waste
Alexandria Region,Alexandria,Middle/High Urban,2024-07,3200,44.2,9.2,6.8,12.7,9.2,18,17.6,5546362,187190,1706623,242323,4898,23893,6310,1821980,87.3,82.9,13.5,1.6,Alexandria Governorate - General Administration of Solid Waste
Alexandria Region,Alexandria,Middle/High Urban,2024-08,3200,47.8,19.8,10,7,3.3,12.1,17.6,5554126,187451,1706623,242323,4898,23893,6310,1824530,89.4,84.9,10.2,2.7,Alexandria Governorate - General Administration of Solid Waste
Alexandria Region,Alexandria,Middle/High Urban,2024-09,3200,51.2,11.1,11.5,5,2.6,18.6,17.3,5561902,150171,1706623,242323,4898,23893,6310,1827085,86.9,82.5,10.8,2.1,Alexandria Governorate - General Administration of Solid Waste
Alexandria Region,Alexandria,Middle/High Urban,2024-10,3200,45,15.2,13.1,8.8,2.7,15.2,17.7,5569689,150382,1662871,241259,5229,23930,6501,1829643,86.3,82,12.5,1.7,Alexandria Governorate - General Administration of Solid Waste
Alexandria Region,Alexandria,Middle/High Urban,2024-11,3200,55.3,17.6,8,4.8,9,5.3,17.9,5577486,150592,1662871,241259,5229,23930,6501,1832204,89.9,85.4,12.3,2.6,Alexandria Governorate - General Administration of Solid Waste
Alexandria Region,Alexandria,Middle/High Urban,2024-12,3200,51,18.2,13.8,5.9,1.1,10,18.7,5585295,150803,1662871,241259,5229,23930,6501,1834769,85.2,81,12.1,1.8,Alexandria Governorate - General Administration of Solid Waste
Alexandria Region,Alexandria,Middle/High Urban,2025-01,3350,52.4,18.6,7.3,4.2,0.5,17,18.5,5593114,151014,1729808,246774,4805,24490,6163,1837338,87.7,83.3,12.4,2.5,Alexandria Governorate - General Administration of Solid Waste
Alexandria Region,Alexandria,Middle/High Urban,2025-02,3350,66,15.3,4,0.6,3.6,10.5,17.8,5600945,151226,1729808,246774,4805,24490,6163,1839910,83.6,79.4,10.3,1.9,Alexandria Governorate - General Administration of Solid Waste
Alexandria Region,Alexandria,Middle/High Urban,2025-03,3350,72.8,4.9,7.1,4.3,1.4,9.6,18.8,5608786,178696,1729808,246774,4805,24490,6163,1842486,83.2,79.1,10.9,2.4,Alexandria Governorate - General Administration of Solid Waste
Alexandria Region,Alexandria,Middle/High Urban,2025-04,3350,50.1,8.7,8.6,11.3,3.3,18.1,18.6,5616638,151649,1709115,244959,4996,23961,6409,1845066,85.6,81.4,12,2.5,Alexandria Governorate - General Administration of Solid Waste
Alexandria Region,Alexandria,Middle/High Urban,2025-05,3350,58.9,17.7,0.5,2.7,8.5,11.7,18.6,5624502,151862,1709115,244959,4996,23961,6409,1847649,85.8,81.5,12.5,1.6,Alexandria Governorate - General Administration of Solid Waste
Alexandria Region,Alexandria,Middle/High Urban,2025-06,3350,60.5,18.2,7.8,2.1,0.5,10.9,19.3,5632376,190092,1709115,244959,4996,23961,6409,1850236,89.9,85.4,11.5,2.3,Alexandria Governorate - General Administration of Solid Waste
Alexandria Region,Alexandria,Middle/High Urban,2025-07,3350,56.9,16.6,4.9,7.2,6.2,8.3,19.6,5640261,190359,1757351,236593,4917,24721,6440,1852826,83.1,79,11.5,1.9,Alexandria Governorate - General Administration of Solid Waste
Alexandria Region,Alexandria,Middle/High Urban,2025-08,3350,54,12.9,11.4,0.9,4.7,16.1,19.7,5648158,190625,1757351,236593,4917,24721,6440,1855420,83.7,79.5,10.3,1.6,Alexandria Governorate - General Administration of Solid Waste
Alexandria Region,Alexandria,Middle/High Urban,2025-09,3350,48,17.9,8.9,7.5,3.5,14.2,19.2,5656065,152714,1757351,236593,4917,24721,6440,1858017,86.5,82.2,11.1,1.9,Alexandria Governorate - General Administration of Solid Waste
Alexandria Region,Alexandria,Middle/High Urban,2025-10,3350,52.3,15.3,7.5,0.5,10.6,13.7,19.5,5663983,152928,1802274,237089,5195,24509,6453,1860618,84.1,67.9,11.8,1.8,Alexandria Governorate - General Administration of Solid Waste
Alexandria Region,Alexandria,Middle/High Urban,2025-11,3350,54.9,12.2,5,10.4,0.5,17,19.8,5671913,153142,1802274,237089,5195,24509,6453,1863223,84.1,79.9,10.7,1.9,Alexandria Governorate - General Administration of Solid Waste
Alexandria Region,Alexandria,Middle/High Urban,2025-12,3350,53.1,9.6,10.4,0.4,11.1,15.4,20.3,5679854,153356,1802274,237089,5195,24509,6453,1865832,85.1,68.7,12.4,2.7,Alexandria Governorate - General Administration of Solid Waste
South Upper Egypt Region,Aswan,Lower Middle Income,2021-01,3690,56.7,10.2,9.9,2.8,11.1,9.3,11.9,1521412,22821,487858,62361,1408,6699,1692,277658,47.8,41.6,11.1,2.6,Ministry of Environment - National Waste Program in Upper Egypt
South Upper Egypt Region,Aswan,Lower Middle Income,2021-02,3690,55,12.6,9.3,3.5,2.5,17.2,11.7,1523542,22853,487858,62361,1408,6699,1692,278046,40.8,35,10.8,1.4,Ministry of Environment - National Waste Program in Upper Egypt
South Upper Egypt Region,Aswan,Lower Middle Income,2021-03,3690,61,15.2,0.5,5.4,0.5,17.3,11.8,1525674,22885,487858,62361,1408,6699,1692,278436,39.7,33.9,11.5,2.2,Ministry of Environment - National Waste Program in Upper Egypt
South Upper Egypt Region,Aswan,Lower Middle Income,2021-04,3690,62.1,8.5,8.1,1.3,7,13,12.7,1527810,27042,465601,65038,1391,6778,1684,278825,44.1,38.2,13,2.1,Ministry of Environment - National Waste Program in Upper Egypt
South Upper Egypt Region,Aswan,Lower Middle Income,2021-05,3690,59.2,13.8,10.3,3.9,6.1,6.6,13,1529949,22949,465601,65038,1391,6778,1684,279216,39.4,33.7,11.8,2.1,Ministry of Environment - National Waste Program in Upper Egypt
South Upper Egypt Region,Aswan,Lower Middle Income,2021-06,3690,56.4,12.8,12.9,3.3,0.5,14.1,12.7,1532091,22981,465601,65038,1391,6778,1684,279607,47.5,41.4,10.9,2.7,Ministry of Environment - National Waste Program in Upper Egypt
South Upper Egypt Region,Aswan,Lower Middle Income,2021-07,3690,51.6,5.4,13.1,6.2,4.7,19.1,13.2,1534236,23014,490126,66501,1378,6636,1809,279998,39.7,34,10.3,1.4,Ministry of Environment - National Waste Program in Upper Egypt
South Upper Egypt Region,Aswan,Lower Middle Income,2021-08,3690,61.5,8.3,11,2.9,0.6,15.9,13,1536384,23046,490126,66501,1378,6636,1809,280390,49.2,36.6,11.8,1.5,Ministry of Environment - National Waste Program in Upper Egypt
South Upper Egypt Region,Aswan,Lower Middle Income,2021-09,3690,64.4,6.8,10,0.6,4.7,13.4,12.8,1538535,23078,490126,66501,1378,6636,1809,280783,43.2,37.3,13.8,2.7,Ministry of Environment - National Waste Program in Upper Egypt
South Upper Egypt Region,Aswan,Lower Middle Income,2021-10,3690,49.3,15.8,10.4,0.4,7.5,16.6,13.3,1540689,23110,461763,65290,1326,6538,1782,281176,40.6,34.8,11.1,2.1,Ministry of Environment - National Waste Program in Upper Egypt
South Upper Egypt Region,Aswan,Lower Middle Income,2021-11,3690,54,17.6,7.4,0.5,0.5,20,13.9,1542846,23143,461763,65290,1326,6538,1782,281569,43.5,37.5,10,2.3,Ministry of Environment - National Waste Program in Upper Egypt
South Upper Egypt Region,Aswan,Lower Middle Income,2021-12,3690,55.2,14.4,11.2,2,1.4,15.8,13.5,1545006,23175,461763,65290,1326,6538,1782,281964,37.4,31.8,13.9,1.9,Ministry of Environment - National Waste Program in Upper Egypt
South Upper Egypt Region,Aswan,Lower Middle Income,2022-01,4295,55.3,7.3,11.1,8.6,6.6,11.2,14.2,1547169,23208,493558,68574,1320,6456,1812,282358,37.9,32.3,12.9,1.3,Ministry of Environment - National Waste Program in Upper Egypt
South Upper Egypt Region,Aswan,Lower Middle Income,2022-02,4295,46.7,10.8,14.9,6,5.3,16.2,12.7,1549335,23240,493558,68574,1320,6456,1812,282754,46.1,40,10.8,2.6,Ministry of Environment - National Waste Program in Upper Egypt
South Upper Egypt Region,Aswan,Lower Middle Income,2022-03,4295,56,13.1,12.3,1.7,0.5,16.4,14.2,1551504,23273,493558,68574,1320,6456,1812,283149,47.8,41.6,10.3,1.3,Ministry of Environment - National Waste Program in Upper Egypt
South Upper Egypt Region,Aswan,Lower Middle Income,2022-04,4295,59.4,7.4,11.8,9.3,2.6,9.5,14,1553676,27500,465768,65729,1409,6584,1763,283546,40.2,34.5,12.3,1.9,Ministry of Environment - National Waste Program in Upper Egypt
South Upper Egypt Region,Aswan,Lower Middle Income,2022-05,4295,63.3,12.2,8.5,6.4,0.6,9,14,1555851,23338,465768,65729,1409,6584,1763,283943,49.1,42.9,12.9,1.9,Ministry of Environment - National Waste Program in Upper Egypt
South Upper Egypt Region,Aswan,Lower Middle Income,2022-06,4295,50.3,11.6,10.3,10.3,3.1,14.5,14.3,1558030,23370,465768,65729,1409,6584,1763,284340,35.2,29.7,13.7,1.8,Ministry of Environment - National Waste Program in Upper Egypt
South Upper Egypt Region,Aswan,Lower Middle Income,2022-07,4295,51.5,15.9,7.8,4.2,2.5,18,13.6,1560211,23403,479025,68099,1462,6381,1816,284739,39,33.3,11.1,2.4,Ministry of Environment - National Waste Program in Upper Egypt
South Upper Egypt Region,Aswan,Lower Middle Income,2022-08,4295,55.1,4.2,10,6.3,3.9,20.5,14.4,1562395,23436,479025,68099,1462,6381,1816,285137,47.4,41.3,10.7,1.4,Ministry of Environment - National Waste Program in Upper Egypt
South Upper Egypt Region,Aswan,Lower Middle Income,2022-09,4295,62.9,11.7,0.8,3.4,7.7,13.4,14.8,1564582,23469,479025,68099,1462,6381,1816,285536,47.5,41.4,11.3,2.5,Ministry of Environment - National Waste Program in Upper Egypt
South Upper Egypt Region,Aswan,Lower Middle Income,2022-10,4295,52.9,13.8,5.6,6,9.1,12.5,15.4,1566773,23502,508069,67717,1440,6699,1836,285936,48.4,42.2,14,2.1,Ministry of Environment - National Waste Program in Upper Egypt
South Upper Egypt Region,Aswan,Lower Middle Income,2022-11,4295,53.4,13.1,1.5,5.6,5,21.4,14.7,1568966,23534,508069,67717,1440,6699,1836,286336,48.7,42.5,12.6,2.2,Ministry of Environment - National Waste Program in Upper Egypt
South Upper Egypt Region,Aswan,Lower Middle Income,2022-12,4295,59.6,15.8,7,2.7,0.5,14.4,14.8,1571163,23567,508069,67717,1440,6699,1836,286737,36,30.4,13.1,1.6,Ministry of Environment - National Waste Program in Upper Egypt
South Upper Egypt Region,Aswan,Lower Middle Income,2023-01,3700,57.8,14.9,7.7,4.7,1.7,13.3,15,1573363,23600,490473,68116,1403,6537,1756,287139,47.1,41,10.5,2,Ministry of Environment - National Waste Program in Upper Egypt
South Upper Egypt Region,Aswan,Lower Middle Income,2023-02,3700,55.7,13,12.9,3.6,1.6,13.2,15.7,1575565,23633,490473,68116,1403,6537,1756,287541,37.1,31.5,10.6,1.4,Ministry of Environment - National Waste Program in Upper Egypt
South Upper Egypt Region,Aswan,Lower Middle Income,2023-03,3700,57.4,11.1,17.3,0.5,1.8,11.9,15.6,1577771,27927,490473,68116,1403,6537,1756,287943,39.6,33.9,13,1.9,Ministry of Environment - National Waste Program in Upper Egypt
South Upper Egypt Region,Aswan,Lower Middle Income,2023-04,3700,54,11.4,10.9,0.5,6.9,16.3,15.4,1579980,23700,505867,65468,1442,6432,1835,288346,44.9,33.1,11,1.3,Ministry of Environment - National Waste Program in Upper Egypt
South Upper Egypt Region,Aswan,Lower Middle Income,2023-05,3700,54.4,4.2,6.5,3.3,14.3,17.3,15.9,1582192,23733,505867,65468,1442,6432,1835,288750,48.4,42.3,10.6,2.5,Ministry of Environment - National Waste Program in Upper Egypt
South Upper Egypt Region,Aswan,Lower Middle Income,2023-06,3700,55.7,11.6,11.2,5.7,0.6,15.2,15.9,1584407,23766,505867,65468,1442,6432,1835,289154,45,33.2,10.6,2.5,Ministry of Environment - National Waste Program in Upper Egypt
South Upper Egypt Region,Aswan,Lower Middle Income,2023-07,3700,51.8,8.4,10.9,6.8,6.2,15.9,16.4,1586625,23799,483844,68620,1372,6530,1803,289559,39.3,33.6,13.1,2.3,Ministry of Environment - National Waste Program in Upper Egypt
South Upper Egypt Region,Aswan,Lower Middle Income,2023-08,3700,55.1,16.1,11.5,4.6,0.6,12.2,15.8,1588846,23833,483844,68620,1372,6530,1803,289964,49,42.8,10.8,2.3,Ministry of Environment - National Waste Program in Upper Egypt
South Upper Egypt Region,Aswan,Lower Middle Income,2023-09,3700,53.7,21.7,10.9,1.7,0.5,11.6,16.2,1591071,23866,483844,68620,1372,6530,1803,290370,45.7,39.6,14,2.4,Ministry of Environment - National Waste Program in Upper Egypt
South Upper Egypt Region,Aswan,Lower Middle Income,2023-10,3700,57,10.1,12,2.2,3.5,15.1,16.2,1593298,23899,510610,64689,1430,6740,1750,290777,43.6,37.7,11.6,2,Ministry of Environment - National Waste Program in Upper Egypt
South Upper Egypt Region,Aswan,Lower Middle Income,2023-11,3700,48,9.4,14.8,7.1,5.4,15.3,15.9,1595529,23933,510610,64689,1430,6740,1750,291184,40.4,34.6,11.1,1.3,Ministry of Environment - National Waste Program in Upper Egypt
South Upper Egypt Region,Aswan,Lower Middle Income,2023-12,3700,54.2,19.7,9.6,5.9,0.5,10.2,16.8,1597763,23966,510610,64689,1430,6740,1750,291592,43.3,37.4,10.9,1.4,Ministry of Environment - National Waste Program in Upper Egypt
South Upper Egypt Region,Aswan,Lower Middle Income,2024-01,3200,61.4,21.7,0.6,3,0.6,12.7,16.9,1600000,24000,480976,70368,1403,7006,1773,292000,39.1,33.4,13.8,1.8,Ministry of Environment - National Waste Program in Upper Egypt
South Upper Egypt Region,Aswan,Lower Middle Income,2024-02,3200,51,17.6,10.8,0.5,6.9,13.2,16.9,1602240,24034,480976,70368,1403,7006,1773,292409,38.9,33.2,11.3,2.6,Ministry of Environment - National Waste Program in Upper Egypt
South Upper Egypt Region,Aswan,Lower Middle Income,2024-03,3200,65.8,8.6,6.6,0.5,3.3,15.1,17,1604483,28399,480976,70368,1403,7006,1773,292818,47.2,41.1,10.2,1.7,Ministry of Environment - National Waste Program in Upper Egypt
South Upper Egypt Region,Aswan,Lower Middle Income,2024-04,3200,66.9,15.7,0.5,5.3,0.5,11,16.6,1606729,24101,504825,65079,1492,6645,1762,293228,39.4,33.7,10.7,2.5,Ministry of Environment - National Waste Program in Upper Egypt
South Upper Egypt Region,Aswan,Lower Middle Income,2024-05,3200,59.6,11.7,5.1,5.4,0.6,17.6,17.1,1608978,24135,504825,65079,1492,6645,1762,293638,48.8,42.6,13,2.5,Ministry of Environment - National Waste Program in Upper Egypt
South Upper Egypt Region,Aswan,Lower Middle Income,2024-06,3200,64.5,7.8,8.9,0.5,2,16.3,17.4,1611231,24168,504825,65079,1492,6645,1762,294050,47,40.9,12.5,2.1,Ministry of Environment - National Waste Program in Upper Egypt
South Upper Egypt Region,Aswan,Lower Middle Income,2024-07,3200,48.3,10.9,11.1,11.6,8.2,9.8,17.3,1613487,24202,493859,65568,1508,6927,1875,294461,46.5,40.4,13.6,1.6,Ministry of Environment - National Waste Program in Upper Egypt
South Upper Egypt Region,Aswan,Lower Middle Income,2024-08,3200,57.3,12.9,7.2,6.5,0.6,15.6,17.6,1615746,24236,493859,65568,1508,6927,1875,294874,38.9,33.2,12,2.6,Ministry of Environment - National Waste Program in Upper Egypt
South Upper Egypt Region,Aswan,Lower Middle Income,2024-09,3200,59.1,12.6,6.3,8.6,0.5,12.8,18.1,1618008,24270,493859,65568,1508,6927,1875,295286,49.6,43.4,12,2.5,Ministry of Environment - National Waste Program in Upper Egypt
South Upper Egypt Region,Aswan,Lower Middle Income,2024-10,3200,55,12.9,10.5,6.3,2.8,12.6,18.8,1620273,24304,504917,70046,1503,6703,1880,295700,46.8,40.7,12.3,1.7,Ministry of Environment - National Waste Program in Upper Egypt
South Upper Egypt Region,Aswan,Lower Middle Income,2024-11,3200,54.6,10.6,13.1,1.2,6.3,14.2,18.2,1622541,24338,504917,70046,1503,6703,1880,296114,44,38,11,1.3,Ministry of Environment - National Waste Program in Upper Egypt
South Upper Egypt Region,Aswan,Lower Middle Income,2024-12,3200,54.9,15.8,7.1,6.5,3.8,11.9,18.4,1624813,24372,504917,70046,1503,6703,1880,296528,40.1,29.2,12.3,2.4,Ministry of Environment - National Waste Program in Upper Egypt
